Term	Grupo
intraciliary transport	CMD exclusivo
intraciliary retrograde transport	CMD exclusivo
positive regulation of smoothened signaling pathway	CMD exclusivo
retina layer formation	CMD exclusivo
negative regulation of mitotic nuclear division	CMD exclusivo
RNA splicing, via endonucleolytic cleavage and ligation	CMD exclusivo
negative regulation of mitotic cell cycle	CMD exclusivo
negative regulation of nuclear division	CMD exclusivo
mitotic cell cycle checkpoint signaling	CMD exclusivo
non-canonical Wnt signaling pathway	CMD exclusivo
mitotic spindle assembly checkpoint signaling	CMD exclusivo
spindle assembly checkpoint signaling	CMD exclusivo
mitotic spindle checkpoint signaling	CMD exclusivo
positive regulation of stem cell population maintenance	CMD exclusivo
spindle checkpoint signaling	CMD exclusivo
negative regulation of sister chromatid segregation	CMD exclusivo
negative regulation of mitotic sister chromatid segregation	CMD exclusivo
negative regulation of mitotic metaphase/anaphase transition	CMD exclusivo
negative regulation of mitotic sister chromatid separation	CMD exclusivo
negative regulation of smoothened signaling pathway	CMD exclusivo
negative regulation of metaphase/anaphase transition of cell cycle	CMD exclusivo
negative regulation of chromosome separation	CMD exclusivo
negative regulation of chromosome segregation	CMD exclusivo
regulation of chromosome separation	CMD exclusivo
metaphase chromosome alignment	CMD exclusivo
regulation of T cell differentiation	CMD exclusivo
negative regulation of mitotic cell cycle phase transition	CMD exclusivo
regulation of mitotic sister chromatid segregation	CMD exclusivo
regulation of lymphocyte differentiation	CMD exclusivo
positive regulation of leukocyte differentiation	CMD exclusivo
positive regulation of hemopoiesis	CMD exclusivo
chromosome separation	CMD exclusivo
regulation of mitotic sister chromatid separation	CMD exclusivo
establishment of chromosome localization	CMD exclusivo
polarized epithelial cell differentiation	CMD exclusivo
mitotic sister chromatid separation	CMD exclusivo
endocytic recycling	CMD exclusivo
regulation of nuclear division	CMD exclusivo
regulation of non-canonical Wnt signaling pathway	CMD exclusivo
Wnt signaling pathway, planar cell polarity pathway	CMD exclusivo
chromosome localization	CMD exclusivo
T cell differentiation	CMD exclusivo
cell cycle checkpoint signaling	CMD exclusivo
regulation of Wnt signaling pathway, planar cell polarity pathway	CMD exclusivo
phosphatidylinositol dephosphorylation	CMD exclusivo
positive regulation of lymphocyte activation	CMD exclusivo
positive regulation of cell adhesion	CMD exclusivo
regulation of cell junction assembly	CMD exclusivo
embryonic forelimb morphogenesis	CMD exclusivo
establishment of epithelial cell polarity	CMD exclusivo
transcription initiation at RNA polymerase I promoter	CMD exclusivo
transcription initiation-coupled chromatin remodeling	CMD exclusivo
transcription preinitiation complex assembly	CMD exclusivo
host-mediated perturbation of symbiont process	CMD exclusivo
nucleosome organization	CMD exclusivo
cortical cytoskeleton organization	CMD exclusivo
negative regulation of cell cycle process	CMD exclusivo
protein localization to postsynaptic specialization membrane	CMD exclusivo
neurotransmitter receptor localization to postsynaptic specialization membrane	CMD exclusivo
positive regulation of gene expression, epigenetic	CMD exclusivo
gap junction assembly	CMD exclusivo
odontoblast differentiation	CMD exclusivo
positive regulation of cell morphogenesis	CMD exclusivo
embryonic camera-type eye development	CMD exclusivo
negative regulation of cell cycle	CMD exclusivo
intraciliary anterograde transport	CMD exclusivo
craniofacial suture morphogenesis	CMD exclusivo
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	CMD exclusivo
positive regulation of leukocyte activation	CMD exclusivo
vocalization behavior	CMD exclusivo
homeostasis of number of cells within a tissue	CMD exclusivo
positive regulation of T cell activation	CMD exclusivo
positive regulation of BMP signaling pathway	CMD exclusivo
forelimb morphogenesis	CMD exclusivo
amino acid metabolic process	CM exclusivo
generation of precursor metabolites and energy	CM exclusivo
energy derivation by oxidation of organic compounds	CM exclusivo
cellular respiration	CM exclusivo
aerobic respiration	CM exclusivo
neuromuscular process	CM exclusivo
nucleoside phosphate biosynthetic process	CM exclusivo
mitochondrion organization	CM exclusivo
oxidative phosphorylation	CM exclusivo
purine nucleoside triphosphate metabolic process	CM exclusivo
nucleoside triphosphate metabolic process	CM exclusivo
tRNA aminoacylation for protein translation	CM exclusivo
purine ribonucleoside triphosphate metabolic process	CM exclusivo
ribonucleoside triphosphate metabolic process	CM exclusivo
ATP metabolic process	CM exclusivo
purine nucleotide metabolic process	CM exclusivo
tRNA aminoacylation	CM exclusivo
purine-containing compound biosynthetic process	CM exclusivo
ribose phosphate metabolic process	CM exclusivo
purine ribonucleotide metabolic process	CM exclusivo
amino acid activation	CM exclusivo
ribonucleotide metabolic process	CM exclusivo
respiratory electron transport chain	CM exclusivo
NADH dehydrogenase complex assembly	CM exclusivo
mitochondrial respiratory chain complex I assembly	CM exclusivo
mitochondrial respiratory chain complex assembly	CM exclusivo
ATP biosynthetic process	CM exclusivo
purine nucleoside triphosphate biosynthetic process	CM exclusivo
purine ribonucleoside triphosphate biosynthetic process	CM exclusivo
electron transport chain	CM exclusivo
ATP synthesis coupled electron transport	CM exclusivo
mitochondrial ATP synthesis coupled electron transport	CM exclusivo
proton motive force-driven ATP synthesis	CM exclusivo
ribonucleoside triphosphate biosynthetic process	CM exclusivo
nucleoside triphosphate biosynthetic process	CM exclusivo
locomotory behavior	CM exclusivo
proton motive force-driven mitochondrial ATP synthesis	CM exclusivo
cognition	CM exclusivo
regulation of membrane potential	CM exclusivo
mitochondrial electron transport, NADH to ubiquinone	CM exclusivo
purine ribonucleotide biosynthetic process	CM exclusivo
nucleotide biosynthetic process	CM exclusivo
neuron apoptotic process	CM exclusivo
aerobic electron transport chain	CM exclusivo
proton transmembrane transport	CM exclusivo
purine nucleotide biosynthetic process	CM exclusivo
ribose phosphate biosynthetic process	CM exclusivo
ribonucleotide biosynthetic process	CM exclusivo
adult locomotory behavior	CM exclusivo
learning or memory	CM exclusivo
regulation of neuron apoptotic process	CM exclusivo
ensheathment of neurons	CM exclusivo
axon ensheathment	CM exclusivo
myelination	CM exclusivo
water-soluble vitamin metabolic process	CM exclusivo
adult behavior	CM exclusivo
alpha-amino acid metabolic process	CM exclusivo
dolichol-linked oligosaccharide biosynthetic process	CM exclusivo
negative regulation of neuron apoptotic process	CM exclusivo
establishment of protein localization to organelle	CM exclusivo
organic acid catabolic process	CM exclusivo
carboxylic acid catabolic process	CM exclusivo
small molecule catabolic process	CM exclusivo
branched-chain amino acid metabolic process	CM exclusivo
muscle system process	CM exclusivo
peroxisome organization	CM exclusivo
branched-chain amino acid catabolic process	CM exclusivo
peroxisomal membrane transport	CM exclusivo
peroxisomal transport	CM exclusivo
vesicle localization	CM exclusivo
regulation of nervous system development	CM exclusivo
mitochondrial RNA metabolic process	CM exclusivo
protein N-linked glycosylation	CM exclusivo
amide metabolic process	CM exclusivo
vitamin metabolic process	CM exclusivo
protein N-linked glycosylation via asparagine	CM exclusivo
cellular catabolic process	CM exclusivo
response to metal ion	CM exclusivo
membrane lipid metabolic process	CM exclusivo
learning	CM exclusivo
central nervous system neuron development	CM exclusivo
neuromuscular process controlling posture	CM exclusivo
response to oxidative stress	CM exclusivo
glycolipid metabolic process	CM exclusivo
action potential	CM exclusivo
transmission of nerve impulse	CM exclusivo
liposaccharide metabolic process	CM exclusivo
adult walking behavior	CM exclusivo
muscle contraction	CM exclusivo
subpallium development	CM exclusivo
protein import into peroxisome matrix	CM exclusivo
regulation of neurogenesis	CM exclusivo
amino acid catabolic process	CM exclusivo
regulation of synaptic plasticity	CM exclusivo
regulation of postsynaptic membrane potential	CM exclusivo
protein localization to peroxisome	CM exclusivo
establishment of protein localization to peroxisome	CM exclusivo
proteinogenic amino acid metabolic process	CM exclusivo
sulfur compound metabolic process	CM exclusivo
cell fate commitment	CM exclusivo
neurotransmitter transport	CM exclusivo
mitochondrial gene expression	CM exclusivo
establishment of vesicle localization	CM exclusivo
L-amino acid metabolic process	CM exclusivo
regulation of neuron projection development	CM exclusivo
diencephalon development	CM exclusivo
vesicle-mediated transport in synapse	CM exclusivo
endocrine system development	CM exclusivo
striatum development	CM exclusivo
protein transmembrane import into intracellular organelle	CM exclusivo
regulation of supramolecular fiber organization	CM exclusivo
cerebellar cortex development	CM exclusivo
response to radiation	CM exclusivo
macroautophagy	CM exclusivo
peripheral nervous system development	CM exclusivo
neuronal action potential	CM exclusivo
forebrain neuron differentiation	CM exclusivo
maintenance of cell number	CM exclusivo
neuromuscular process controlling balance	CM exclusivo
neuron fate commitment	CM exclusivo
regulation of neuronal synaptic plasticity	CM exclusivo
positive regulation of nervous system development	CM exclusivo
stem cell differentiation	CM exclusivo
response to oxygen levels	CM exclusivo
striated muscle contraction	CM exclusivo
positive regulation of neurogenesis	CM exclusivo
regulation of cellular component size	CM exclusivo
synaptic transmission, glutamatergic	CM exclusivo
regulation of neuron differentiation	CM exclusivo
muscle cell differentiation	CM exclusivo
fatty acid beta-oxidation	CM exclusivo
tricarboxylic acid cycle	CM exclusivo
sulfur compound biosynthetic process	CM exclusivo
regulation of presynaptic membrane potential	CM exclusivo
response to light stimulus	CM exclusivo
regulation of synapse structure or activity	CM exclusivo
amide biosynthetic process	CM exclusivo
pyridine-containing compound metabolic process	CM exclusivo
memory	CM exclusivo
signal release	CM exclusivo
amino acid biosynthetic process	CM exclusivo
glycerolipid metabolic process	CM exclusivo
membrane lipid biosynthetic process	CM exclusivo
regulation of synapse organization	CM exclusivo
collagen fibril organization	CM exclusivo
vacuole organization	CM exclusivo
stem cell population maintenance	CM exclusivo
potassium ion transmembrane transport	CM exclusivo
determination of adult lifespan	CM exclusivo
protein complex oligomerization	CM exclusivo
lipid catabolic process	CM exclusivo
oligodendrocyte development	CM exclusivo
Schwann cell differentiation	CM exclusivo
tRNA processing	CM exclusivo
cobalamin metabolic process	CM exclusivo
carbohydrate catabolic process	CM exclusivo
protein tetramerization	CM exclusivo
cell fate specification	CM exclusivo
fatty acid catabolic process	CM exclusivo
Schwann cell development	CM exclusivo
dopamine metabolic process	CM exclusivo
nucleotide-sugar metabolic process	CM exclusivo
non-proteinogenic amino acid metabolic process	CM exclusivo
import across plasma membrane	CM exclusivo
thyroid gland development	CM exclusivo
alcohol metabolic process	CM exclusivo
glutamate receptor signaling pathway	CM exclusivo
fatty acid oxidation	CM exclusivo
startle response	CM exclusivo
protein targeting	CM exclusivo
nephron development	CM exclusivo
maintenance of location	CM exclusivo
skeletal muscle tissue development	CM exclusivo
monosaccharide metabolic process	CM exclusivo
neuroblast proliferation	CM exclusivo
modified amino acid metabolic process	CM exclusivo
glycolipid biosynthetic process	CM exclusivo
postsynapse organization	CM exclusivo
oligodendrocyte differentiation	CM exclusivo
protein localization to cell periphery	CM exclusivo
tRNA threonylcarbamoyladenosine metabolic process	CM exclusivo
potassium ion transport	CM exclusivo
nerve development	CM exclusivo
dicarboxylic acid metabolic process	CM exclusivo
hindbrain morphogenesis	CM exclusivo
inorganic anion transmembrane transport	CM exclusivo
lysosome organization	CM exclusivo
lytic vacuole organization	CM exclusivo
lipid modification	CM exclusivo
positive regulation of synaptic transmission	CM exclusivo
maintenance of location in cell	CM exclusivo
protein localization to nucleus	CM exclusivo
dendrite development	CM exclusivo
cellular response to chemical stress	CM exclusivo
L-amino acid biosynthetic process	CM exclusivo
multicellular organismal response to stress	CM exclusivo
purine-containing compound catabolic process	CM exclusivo
cerebellum morphogenesis	CM exclusivo
regulation of cell size	CM exclusivo
pigmentation	CM exclusivo
acidic amino acid transport	CM exclusivo
protein transmembrane transport	CM exclusivo
cytochrome complex assembly	CM exclusivo
cerebellar cortex morphogenesis	CM exclusivo
tetrapyrrole metabolic process	CM exclusivo
mitochondrial transmembrane transport	CM exclusivo
pyridine nucleotide metabolic process	CM exclusivo
nicotinamide nucleotide metabolic process	CM exclusivo
lipid oxidation	CM exclusivo
thioester biosynthetic process	CM exclusivo
acyl-CoA biosynthetic process	CM exclusivo
amino acid transport	CM exclusivo
heart valve development	CM exclusivo
organophosphate catabolic process	CM exclusivo
body morphogenesis	CM exclusivo
regulation of neuron migration	CM exclusivo
mitochondrial transport	CM exclusivo
response to decreased oxygen levels	CM exclusivo
striated muscle cell differentiation	CM exclusivo
neuron projection maintenance	CM exclusivo
hexose metabolic process	CM exclusivo
nucleoside phosphate catabolic process	CM exclusivo
neuron projection organization	CM exclusivo
developmental growth involved in morphogenesis	CM exclusivo
muscle cell development	CM exclusivo
associative learning	CM exclusivo
inorganic anion transport	CM exclusivo
multicellular organismal movement	CM exclusivo
face development	CM exclusivo
regulation of protein-containing complex assembly	CM exclusivo
chemical synaptic transmission, postsynaptic	CM exclusivo
carbohydrate derivative catabolic process	CM exclusivo
regulation of long-term neuronal synaptic plasticity	CM exclusivo
lung epithelium development	CM exclusivo
alcohol biosynthetic process	CM exclusivo
response to hypoxia	CM exclusivo
nucleotide-sugar biosynthetic process	CM exclusivo
alpha-amino acid catabolic process	CM exclusivo
negative regulation of organelle organization	CM exclusivo
central nervous system neuron axonogenesis	CM exclusivo
ribonucleotide catabolic process	CM exclusivo
axo-dendritic transport	CM exclusivo
excitatory postsynaptic potential	CM exclusivo
visual behavior	CM exclusivo
neuron maturation	CM exclusivo
neurotransmitter secretion	CM exclusivo
signal release from synapse	CM exclusivo
alpha-amino acid biosynthetic process	CM exclusivo
social behavior	CM exclusivo
proteoglycan metabolic process	CM exclusivo
heart process	CM exclusivo
musculoskeletal movement	CM exclusivo
phenol-containing compound metabolic process	CM exclusivo
actin-mediated cell contraction	CM exclusivo
acyl-CoA metabolic process	CM exclusivo
thioester metabolic process	CM exclusivo
pyruvate metabolic process	CM exclusivo
dopamine biosynthetic process	CM exclusivo
mitochondrial tRNA processing	CM exclusivo
visual learning	CM exclusivo
regulation of macroautophagy	CM exclusivo
membraneless organelle assembly	CM exclusivo
dicarboxylic acid transport	CM exclusivo
stem cell proliferation	CM exclusivo
chromatin looping	CM exclusivo
mitochondrial RNA processing	CM exclusivo
diol biosynthetic process	CM exclusivo
positive regulation of neuron differentiation	CM exclusivo
glial cell proliferation	CM exclusivo
astrocyte differentiation	CM exclusivo
establishment of protein localization to membrane	CM exclusivo
neural crest cell development	CM exclusivo
head morphogenesis	CM exclusivo
ionotropic glutamate receptor signaling pathway	CM exclusivo
monocarboxylic acid catabolic process	CM exclusivo
biological process involved in intraspecies interaction between organisms	CM exclusivo
positive regulation of excitatory postsynaptic potential	CM exclusivo
intracellular protein transmembrane transport	CM exclusivo
purine ribonucleotide catabolic process	CM exclusivo
inorganic cation import across plasma membrane	CM exclusivo
inorganic ion import across plasma membrane	CM exclusivo
stem cell development	CM exclusivo
aorta development	CM exclusivo
regulation of synaptic transmission, glutamatergic	CM exclusivo
microtubule polymerization or depolymerization	CM exclusivo
proteinogenic amino acid biosynthetic process	CM exclusivo
heparan sulfate proteoglycan metabolic process	CM exclusivo
L-glutamate import	CM exclusivo
response to starvation	CM exclusivo
developmental cell growth	CM exclusivo
intracellular copper ion homeostasis	CM exclusivo
non-proteinogenic amino acid biosynthetic process	CM exclusivo
catecholamine metabolic process	CM exclusivo
catechol-containing compound metabolic process	CM exclusivo
noradrenergic neuron differentiation	CM exclusivo
trachea morphogenesis	CM exclusivo
regulation of generation of precursor metabolites and energy	CM exclusivo
artery morphogenesis	CM exclusivo
sodium ion transport	CM exclusivo
positive regulation of protein localization	CM exclusivo
nucleotide catabolic process	CM exclusivo
synaptic vesicle localization	CM exclusivo
purine nucleotide catabolic process	CM exclusivo
actin filament-based movement	CM exclusivo
heart contraction	CM exclusivo
axonal transport	CM exclusivo
long-term synaptic potentiation	CM exclusivo
copper ion homeostasis	CM exclusivo
ligand-gated ion channel signaling pathway	CM exclusivo
modulation of excitatory postsynaptic potential	CM exclusivo
response to peptide hormone	CM exclusivo
monoatomic anion transport	CM exclusivo
glucose homeostasis	CM exclusivo
cardiac muscle cell action potential	CM exclusivo
cardiac muscle cell contraction	CM exclusivo
mesenchymal cell migration	CM exclusivo
spindle organization	CM exclusivo
neurotransmitter uptake	CM exclusivo
heparan sulfate proteoglycan biosynthetic process	CM exclusivo
pteridine-containing compound metabolic process	CM exclusivo
iron-sulfur cluster assembly	CM exclusivo
central nervous system projection neuron axonogenesis	CM exclusivo
metallo-sulfur cluster assembly	CM exclusivo
carbohydrate homeostasis	CM exclusivo
2-oxoglutarate metabolic process	CM exclusivo
regulation of nervous system process	CM exclusivo
regulation of autophagy of mitochondrion	CM exclusivo
monoatomic anion transmembrane transport	CM exclusivo
insulin-like growth factor receptor signaling pathway	CM exclusivo
vesicle organization	CM exclusivo
cellular response to nutrient levels	CM exclusivo
cell growth	CM exclusivo
regulation of ATP metabolic process	CM exclusivo
response to glucose	CM exclusivo
cardiac muscle cell action potential involved in contraction	CM exclusivo
gastrulation	CM exclusivo
tube formation	CM exclusivo
exploration behavior	CM exclusivo
pyramidal neuron differentiation	CM exclusivo
vacuolar transport	CM exclusivo
fatty acid beta-oxidation using acyl-CoA dehydrogenase	CM exclusivo
endoderm development	CM exclusivo
regulation of purine nucleotide metabolic process	CM exclusivo
membrane depolarization	CM exclusivo
glycolipid catabolic process	CM exclusivo
regulation of protein localization to cell periphery	CM exclusivo
carboxylic acid transmembrane transport	CM exclusivo
secondary alcohol metabolic process	CM exclusivo
intracellular iron ion homeostasis	CM exclusivo
tRNA modification	CM exclusivo
regulation of autophagy	CM exclusivo
fatty acid metabolic process	CM exclusivo
regulation of nucleotide metabolic process	CM exclusivo
endosome organization	CM exclusivo
skeletal muscle fiber development	CM exclusivo
mesenchymal cell differentiation	CM exclusivo
trachea development	CM exclusivo
protein polymerization	CM exclusivo
microtubule cytoskeleton organization involved in mitosis	CM exclusivo
neuron projection extension	CM exclusivo
neural crest cell migration	CM exclusivo
somatic stem cell population maintenance	CM exclusivo
mesenchyme development	CM exclusivo
regulation of microtubule polymerization or depolymerization	CM exclusivo
retrograde axonal transport	CM exclusivo
catechol-containing compound biosynthetic process	CM exclusivo
catecholamine biosynthetic process	CM exclusivo
cellular response to metal ion	CM exclusivo
mitotic sister chromatid cohesion	CM exclusivo
response to hexose	CM exclusivo
cerebellar cortex formation	CM exclusivo
response to carbohydrate	CM exclusivo
chloride transport	CM exclusivo
response to monosaccharide	CM exclusivo
regulation of extracellular matrix organization	CM exclusivo
regulation of gliogenesis	CM exclusivo
protein localization to mitochondrion	CM exclusivo
type 2 mitophagy	CM exclusivo
positive regulation of amine transport	CM exclusivo
Ras protein signal transduction	CM exclusivo
organic acid transmembrane transport	CM exclusivo
immune system development	CM exclusivo
calcium ion transport	CM exclusivo
regulation of stem cell proliferation	CM exclusivo
regulation of neuroblast proliferation	CM exclusivo
chloride transmembrane transport	CM exclusivo
synapse assembly	CM exclusivo
organic anion transport	CM exclusivo
intracellular glucose homeostasis	CM exclusivo
import into nucleus	CM exclusivo
dermatan sulfate proteoglycan metabolic process	CM exclusivo
aminoacyl-tRNA metabolism involved in translational fidelity	CM exclusivo
receptor metabolic process	CM exclusivo
protein targeting to peroxisome	CM exclusivo
learned vocalization behavior or vocal learning	CM exclusivo
cellular response to oxidative stress	CM exclusivo
regulation of protein localization to membrane	CM exclusivo
glycosaminoglycan biosynthetic process	CM exclusivo
thymus development	CM exclusivo
diol metabolic process	CM exclusivo
protein homooligomerization	CM exclusivo
dendritic spine organization	CM exclusivo
glycolytic process	CM exclusivo
amine transport	CM exclusivo
protein import into nucleus	CM exclusivo
response to mechanical stimulus	CM exclusivo
cellular response to monosaccharide stimulus	CM exclusivo
C4-dicarboxylate transport	CM exclusivo
cerebellar Purkinje cell layer development	CM exclusivo
positive regulation of autophagy of mitochondrion	CM exclusivo
lymphoid progenitor cell differentiation	CM exclusivo
melanosome localization	CM exclusivo
amide transport	CM exclusivo
regulation of neurotransmitter transport	CM exclusivo
regulation of neural precursor cell proliferation	CM exclusivo
mitochondrial translation	CM exclusivo
mesenchymal cell proliferation	CM exclusivo
autonomic nervous system development	CM exclusivo
regulation of mitophagy	CM exclusivo
amyloid fibril formation	CM exclusivo
protein localization to extracellular region	CM exclusivo
cellular response to glucose stimulus	CM exclusivo
peptide hormone secretion	CM exclusivo
polysaccharide metabolic process	CM exclusivo
pyridine-containing compound catabolic process	CM exclusivo
establishment of protein localization to mitochondrion	CM exclusivo
cardiac muscle tissue development	CM exclusivo
response to auditory stimulus	CM exclusivo
pituitary gland development	CM exclusivo
circadian rhythm	CM exclusivo
ADP catabolic process	CM exclusivo
epithelial tube formation	CM exclusivo
maintenance of protein location	CM exclusivo
motor behavior	CM exclusivo
acetyl-CoA biosynthetic process	CM exclusivo
purine nucleoside monophosphate biosynthetic process	CM exclusivo
regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	CM exclusivo
membrane lipid catabolic process	CM exclusivo
muscle cell cellular homeostasis	CM exclusivo
pigment granule localization	CM exclusivo
positive regulation of mitophagy	CM exclusivo
aorta morphogenesis	CM exclusivo
biogenic amine metabolic process	CM exclusivo
cellular response to carbohydrate stimulus	CM exclusivo
cellular response to hexose stimulus	CM exclusivo
cardiac muscle contraction	CM exclusivo
